module	contig_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings
M00011	co728_000000088729	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K01902,K01903	4577,4576	K01902 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614,K01903 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614
M00005	co728_000000088729	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00948"	1.0	True	1.0	True	1.0	K00948	1	K00948	4617	None
M00014	co728_000000088729	Glucuronate pathway (uronate pathway)	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00012 ((K12447 K16190),(K00699 (K01195,K14756))) K00002 K13247 -- K03331 (K05351,K00008) K00854"	0.25	False	0.2222222222222222	False	1.0	K00854	1	K00012,K00854	4545,4572	'--' steps are assumed incomplete,K00012 is present in multiple modules: M00014/M00129/M00997/M00999/M00761
M00631	co728_000000088729	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01812 K00041 (K01685,K16849+K16850) K00874 (K01625,K17463)"	0.4	False	0.4	False	1.0	K00041	1	K00041,K01812	4549,4551	K01812 is present in multiple modules: M00631/M00061
M00061	co728_000000088729	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01812 K00040 (K01686,K08323) K00874 (K01625,K17463)"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K01812	4551	K01812 is present in multiple modules: M00631/M00061
M00129	co728_000000088729	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00963 K00012 K00699 K01195 K00002 K01053 K00103"	0.14285714285714285	False	0.14285714285714285	False	NA	No enzymes unique to module	NA	K00012	4545	K00012 is present in multiple modules: M00014/M00129/M00997/M00999/M00761
M00854	co728_000000088729	Glycogen biosynthesis, glucose-1P => glycogen/starch	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00963 (K00693+K00750,K16150,K16153,K13679,K20812)),(K00975 (K00703,K13679,K20812)) (K00700,K16149)"	0.5	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00700	4599	K00700 is present in multiple modules: M00854/M00565
M00565	co728_000000088729	Trehalose biosynthesis, D-glucose 1P => trehalose	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00975 K00703 (K00700,K16149) K01214 K06044 K01236"	0.16666666666666666	False	0.16666666666666666	False	NA	No enzymes unique to module	NA	K00700	4599	K00700 is present in multiple modules: M00854/M00565
M00173	co728_000000088729	Reductive citrate cycle (Arnon-Buchanan cycle)	Pathway modules	Energy metabolism	Carbon fixation	"(K00169+K00170+K00171+K00172,K03737) ((K01007,K01006) K01595,K01959+K01960,K01958) K00024 (K01676,K01679,K01677+K01678) (K00239+K00240-K00241-K00242) (K01902+K01903) (K00174+K00175-K00177-K00176) K00031 (K27802,K01682) (K15230+K15231)"	0.1	False	0.1	False	NA	No enzymes unique to module	NA	K01902,K01903	4577,4576	K01902 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614,K01903 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614
M00374	co728_000000088729	Dicarboxylate-hydroxybutyrate cycle	Pathway modules	Energy metabolism	Carbon fixation	"(K00169+K00170+K00171+K00172) K01007 K01595 K00024 (K01677+K01678) (K00239+K00240-K00241-K18860) (K01902+K01903) (K15038,K15017) K14465 (K14467,K18861,K25774) K14534 K15016 K00626"	0.07692307692307693	False	0.07692307692307693	False	NA	No enzymes unique to module	NA	K01902,K01903	4577,4576	K01902 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614,K01903 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614
M00620	co728_000000088729	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Pathway modules	Energy metabolism	Carbon fixation	"(K00169+K00170+K00171+K00172) (K01959+K01960) K00024 (K01677+K01678) (K18209+K18210) (K01902+K01903) (K00174+K00175+K00176+K00177)"	0.14285714285714285	False	0.14285714285714285	False	NA	No enzymes unique to module	NA	K01902,K01903	4577,4576	K01902 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614,K01903 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614
M00082	co728_000000088729	Fatty acid biosynthesis, initiation	Pathway modules	Lipid metabolism	Fatty acid metabolism	"(K11262,(K02160+K01961,K11263)+(K01962+K01963,K18472)) (K00665,K00667+K00668,K11533,(K00645 (K00648,K18473)))"	0.0	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00645	4575	K00645 is present in multiple modules: M00082/M00873/M00874/M00885/M00886
M00083	co728_000000088729	Fatty acid biosynthesis, elongation	Pathway modules	Lipid metabolism	Fatty acid metabolism	"K00665,(K00667 K00668),K11533,((K00647,K09458) K00059 (K02372,K01716,K16363) (K00208,K02371,K10780,K00209))"	0.0	False	0.25	False	NA	No enzymes unique to module	NA	K00059	4355	K00059 is present in multiple modules: M00083/M00874/M00572
M00873	co728_000000088729	Fatty acid biosynthesis in mitochondria, animals	Pathway modules	Lipid metabolism	Fatty acid metabolism	"K18660 K03955+K00645 K09458 K11539+K13370 K22540 K07512"	0.0	False	0.08333333333333333	False	NA	No enzymes unique to module	NA	K00645	4575	K00645 is present in multiple modules: M00082/M00873/M00874/M00885/M00886
M00874	co728_000000088729	Fatty acid biosynthesis in mitochondria, fungi	Pathway modules	Lipid metabolism	Fatty acid metabolism	"K11262 K03955+K00645 K09458 K00059 K22541 K07512"	0.16666666666666666	False	0.25	False	NA	No enzymes unique to module	NA	K00059,K00645	4355,4575	K00059 is present in multiple modules: M00083/M00874/M00572,K00645 is present in multiple modules: M00082/M00873/M00874/M00885/M00886
M00885	co728_000000088729	Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA)	Pathway modules	Lipid metabolism	Fatty acid metabolism	"K02078 K11263+K18472 K00645 K11608 K11609+K11610+(K27071+K27072,K27689)+K11611"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K00645	4575	K00645 is present in multiple modules: M00082/M00873/M00874/M00885/M00886
M00886	co728_000000088729	Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA and KasB)	Pathway modules	Lipid metabolism	Fatty acid metabolism	"K02078 K11263+K18472 K00645 K11608  K11609+K11610+K27071+K27072+K11611 K27070+K11610+K27072+(K27073,K27074)+K11611"	0.16666666666666666	False	0.16666666666666666	False	NA	No enzymes unique to module	NA	K00645	4575	K00645 is present in multiple modules: M00082/M00873/M00874/M00885/M00886
M00094	co728_000000088729	Ceramide biosynthesis	Pathway modules	Lipid metabolism	Lipid metabolism	"K00654 K04708 (K04709,K04710,K24621,K24622,K23727,K28195,K28194) K04712"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K00654	4524	K00654 is present in multiple modules: M00094/M00099
M00099	co728_000000088729	Sphingosine biosynthesis	Pathway modules	Lipid metabolism	Lipid metabolism	"K00654 K04708 (K04709,K04710,K24621,K24622,K23727,K28195,K28194) K04712 (K01441,K12348,K12349)"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K00654	4524	K00654 is present in multiple modules: M00094/M00099
M00051	co728_000000088729	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	"(K11540,(K11541 K01465),((K01954,K01955+K01956) (K00609+K00610,K00608) K01465)) (K00226,K00254,K17828) (K13421,K00762 K01591)"	0.3333333333333333	False	0.3333333333333333	False	1.0	K00254,K17828	1,1	K00254,K17828	4360,4500	None
