module	contig_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings
M00125	megaS121_000000006682	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"(K01497,K14652) (K01498 K00082,K11752) (K22912,K20860,K20861,K20862,K21063,K21064) (K02858,K14652) K00794 K00793 (K20884 K22949,K11753)"	0.14285714285714285	False	0.14285714285714285	False	1.0	K21064	1	K21064	1210	None
M00124	megaS121_000000006682	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K03472 K03473 K00831 K00097 K03474 K00275"	0.3333333333333333	False	0.3333333333333333	False	1.0	K00275	1	K00275,K00831	1152,1077	K00831 is present in multiple modules: M00020/M00124
M00126	megaS121_000000006682	Tetrahydrofolate biosynthesis, GTP => THF	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"(K01495,K09007,K22391) (K01077,K01113,(K08310,K19965)) ((K13939,(K13940,K01633 K00950) K00796),(K01633 K13941)) (K11754,K20457) (K00287,K13998)"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K01495	1141	K01495 is present in multiple modules: M00126/M00841/M00842/M00843/M00988
M00841	megaS121_000000006682	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K01495 K22101 K13941 K11754 K13998"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K01495	1141	K01495 is present in multiple modules: M00126/M00841/M00842/M00843/M00988
M00842	megaS121_000000006682	Tetrahydrobiopterin biosynthesis, GTP => BH4	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K01495 K01737 K00072"	0.6666666666666666	False	0.6666666666666666	False	NA	No enzymes unique to module	NA	K01495,K01737	1141,1139	K01495 is present in multiple modules: M00126/M00841/M00842/M00843/M00988,K01737 is present in multiple modules: M00842/M00843/M00988
M00843	megaS121_000000006682	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K01495 K01737 K17745"	0.6666666666666666	False	0.6666666666666666	False	NA	No enzymes unique to module	NA	K01495,K01737	1141,1139	K01495 is present in multiple modules: M00126/M00841/M00842/M00843/M00988,K01737 is present in multiple modules: M00842/M00843/M00988
M00988	megaS121_000000006682	PreQ1 biosynthesis, GTP => 7-Aminomethyl-7-deazaguanine	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"(K01495,K09007,K22391) K01737 K10026 K06920 (K06879,K09457)"	1.0	True	1.0	True	1.0	K06920,K09457,K10026	1,1,1	K01495,K01737,K06920,K09457,K10026	1141,1139,1142,1143,1140	K01495 is present in multiple modules: M00126/M00841/M00842/M00843/M00988,K01737 is present in multiple modules: M00842/M00843/M00988
M00651	megaS121_000000006682	Vancomycin resistance, D-Ala-D-Lac type	Signature modules	Gene set	Drug resistance	"(K18345 K18344 K07260 K18346),(K18351 K18352 K18354 K18353) (K18347 K15739 K08641)"	0.0	False	0.2857142857142857	False	1.0	K07260,K18346	2,1	K07260,K07260,K18346	1205,1208,1078	None
M00652	megaS121_000000006682	Vancomycin resistance, D-Ala-D-Ser type	Signature modules	Gene set	Drug resistance	"K18350 K18349 K18348 K18856 K18866"	0.4	False	0.4	False	1.0	K18856,K18866	1,1	K18856,K18866	1209,1208	None
M00001	megaS121_000000004597	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K00844,K12407,K00845,K25026,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K24182,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406)"	0.1111111111111111	False	0.1111111111111111	False	NA	No enzymes unique to module	NA	K01803	1826	K01803 is present in multiple modules: M00001/M00002/M00003/M00165
M00002	megaS121_000000004597	Glycolysis, core module involving three-carbon compounds	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406)"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K01803	1826	K01803 is present in multiple modules: M00001/M00002/M00003/M00165
M00003	megaS121_000000004597	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01596,K01610) (K01689,K27394) (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)"	0.14285714285714285	False	0.14285714285714285	False	NA	No enzymes unique to module	NA	K01803	1826	K01803 is present in multiple modules: M00001/M00002/M00003/M00165
M00165	megaS121_000000004597	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules	Energy metabolism	Carbon fixation	"(K00855,K28462) (K01601-K01602) K00927 (K05298,K00150,K00134) K01803 (K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01100,K11532,K01086) (K01807,K01808) K01783"	0.09090909090909091	False	0.09090909090909091	False	NA	No enzymes unique to module	NA	K01803	1826	K01803 is present in multiple modules: M00001/M00002/M00003/M00165
M00579	megaS121_000000004597	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	Pathway modules	Energy metabolism	Carbon fixation	"(K00625,K13788,K15024) K00925"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00625,K00925	1875,1876	K00625 is present in multiple modules: M00579/M00357/M00617/M00618,K00925 is present in multiple modules: M00579/M00357/M00617/M00618
M00357	megaS121_000000004597	Methanogenesis, acetate => methane	Pathway modules	Energy metabolism	Methane metabolism	"((K00925 K00625),K01895) (K00193+K00197+K00194) (K00577+K00578+K00579+K00580+K00581-K00582-K00583+K00584) (K00399+K00401+K00402) (K22480+K22481+K22482,K03388+K03389+K03390,K08264+K08265,K03388+K03389+K03390+K14127+(K14126+K14128,K22516+K00125))"	0.2	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00625,K00925	1875,1876	K00625 is present in multiple modules: M00579/M00357/M00617/M00618,K00925 is present in multiple modules: M00579/M00357/M00617/M00618
M00049	megaS121_000000004597	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Pathway modules	Nucleotide metabolism	Purine metabolism	"K01939 K01756 (K00939,K18532,K18533,K00944) K00940"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K00940	1830	K00940 is present in multiple modules: M00049/M00050/M00053/M00052/M00938
M00050	megaS121_000000004597	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	Pathway modules	Nucleotide metabolism	Purine metabolism	"K00088 K01951 K00942 (K00940,K18533)"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K00940	1830	K00940 is present in multiple modules: M00049/M00050/M00053/M00052/M00938
