amr_gene	aro_call	group	participant	is_coassembly	date
spaS4___73548	tet(32)	mh_p470	p470	True	
spaS4___73548	tet(32)	spaS231	p523	False	2022-08-16
spaS4___73548	tet(32)	mh_p860	p860	True	
spaS4___73548	tet(32)	spaS197	p894	False	2024-07-23
spaS4___73548	tet(32)	mh_p110	p110	True	
spaS4___73548	tet(32)	spaS59	p813	False	2023-02-07
spaS4___73548	tet(32)	spaS26	p431	False	2022-11-15
spaS4___73548	tet(32)	spaS268	p142	False	2025-02-18
spaS4___73548	tet(32)	mh_p550	p550	True	
spaS4___73548	tet(32)	spaS214	p373	False	2025-02-18
spaS4___73548	tet(32)	spaS89	p813	False	2023-09-26
spaS4___73548	tet(32)	spaS230	p470	False	2022-08-16
spaS4___73548	tet(32)	spaS57	p813	False	2023-01-24
spaS4___73548	tet(32)	spaS108	p601	False	2023-11-07
spaS4___73548	tet(32)	spaS99	p292	False	2023-10-17
spaS4___73548	tet(32)	spaS45	p470	False	2022-12-13
spaS4___73548	tet(32)	spaS105	p644	False	2023-10-31
spaS4___73548	tet(32)	spaS227	p813	False	2022-08-09
spaS4___73548	tet(32)	spaS249	p813	False	2023-05-30
spaS4___73548	tet(32)	spaS194	p813	False	2024-07-02
spaS4___73548	tet(32)	spaS130	p292	False	2024-01-23
spaS4___73548	tet(32)	mh_p644	p644	True	
spaS4___73548	tet(32)	spaS68	p813	False	2023-03-07
spaS4___73548	tet(32)	spaS199	p860	False	2024-08-20
spaS4___73548	tet(32)	spaS79	p813	False	2023-05-16
spaS4___73548	tet(32)	spaS277	p584	False	2025-02-18
spaS4___73548	tet(32)	mh_p523	p523	True	
spaS4___73548	tet(32)	mh_p97	p97	True	
spaS4___73548	tet(32)	spaS252	p97	False	2022-09-06
spaS4___73548	tet(32)	spaS156	p431	False	2024-03-19
spaS4___73548	tet(32)	spaS294	p789	False	2024-02-27
spaS4___73548	tet(32)	spaS34	p813	False	2022-11-22
spaS4___73548	tet(32)	spaS80	p644	False	2023-08-15
spaS4___73548	tet(32)	spaS234	p470	False	2022-08-23
spaS4___73548	tet(32)	spaS233	p431	False	2022-08-23
spaS4___73548	tet(32)	spaS236	p431	False	2022-08-30
spaS4___73548	tet(32)	spaS97	p292	False	2023-10-10
spaS4___73548	tet(32)	spaS126	p408	False	2024-01-09
spaS4___73548	tet(32)	spaS188	p813	False	2024-06-11
spaS4___73548	tet(32)	spaS218	p398	False	2025-05-20
spaS4___73548	tet(32)	spaS60	p470	False	2023-02-14
spaS4___73548	tet(32)	spaS138	p729	False	2024-01-30
spaS4___73548	tet(32)	spaS171	p373	False	2024-05-14
spaS4___73548	tet(32)	spaS135	p408	False	2024-01-30
spaS4___73548	tet(32)	spaS281	p654	False	2025-03-25
spaS4___73548	tet(32)	spaS251	p97	False	2022-08-16
spaS4___73548	tet(32)	spaS19	p125	False	2022-11-01
spaS4___73548	tet(32)	spaS258	p142	False	2024-11-05
spaS4___73548	tet(32)	spaS264	p584	False	2024-11-05
spaS4___73548	tet(32)	mh_p125	p125	True	
