dereplicated_mag_id	strand	group	participant	is_coassembly	date	gtdb_taxonomy	phylum
coassembly_33_1	coassembly	mh_p341	p341	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	Bacillota
coassembly_33_1	coassembly	mh_p398	p398	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	Bacillota
coassembly_33_1	coassembly	mh_p408	p408	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	Bacillota
coassembly_33_1	coassembly	mh_p523	p523	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	Bacillota
coassembly_33_1	coassembly	mh_p584	p584	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	Bacillota
coassembly_33_1	coassembly	mh_p601	p601	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	Bacillota
coassembly_33_1	coassembly	mh_p722	p722	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	Bacillota
coassembly_33_1	coassembly	mh_p728	p728	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	Bacillota
coassembly_33_1	coassembly	mh_p789	p789	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	Bacillota
coassembly_33_1	coassembly	mh_p894	p894	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	Bacillota
coassembly_33_1	coassembly	mh_p97	p97	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	Bacillota
coassembly_34_1	coassembly	mh_p550	p550	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus raffinosi	Bacillota
coassembly_34_2	coassembly	mh_p813	p813	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus raffinosi	Bacillota
coassembly_34_3	coassembly	mh_p125	p125	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus raffinosi	Bacillota
coassembly_34_4	coassembly	mh_p292	p292	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus raffinosi	Bacillota
coassembly_34_5	coassembly	mh_p584	p584	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus raffinosi	Bacillota
